Samra (SEPGCO),Amman East (IPP1),Qatrana (IPP2),Zarqa (ACWA),IPP4 (Levant),IPP3 (Amman Asia),Rehab,Risha,Aqaba steam
941.698931918394,318.65520917237166,320.243810059269,0.0,134.85597078264902,0.0,65.0,35.0,55.0
879.9731008341755,298.10549149464424,299.91982791663776,0.0,122.86863547064135,0.0,65.0,35.0,55.0
833.5127300071161,282.63793946774746,284.62218460518795,0.0,113.8458967882849,0.0,65.0,35.0,55.0
815.6952364246218,276.7061527843829,278.7555576997846,0.0,112.5,0.0,65.0,35.0,55.0
883.4637620420692,299.26759982224115,301.0691706603331,0.0,0.0,0.0,65.0,35.0,55.0
912.6992105001123,309.00064353249644,310.6952983601348,0.0,0.0,0.0,65.0,35.0,55.0
1015.7760913080748,343.3169218635946,344.6346175732019,0.0,0.0,0.0,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,89.03096482765292,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,120.77347591753336,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,71.94517224682261,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,122.14076935134037,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,135.87409532630818,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,243.9015527043523,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,256.4442086818626,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,297.0,35.0,107.1946952026822
1150.0,380.0,373.0,0.0,0.0,0.0,297.0,35.0,155.78713218189606
1150.0,380.0,373.0,0.0,250.0,0.0,230.7918836145681,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,0.0,297.0,35.0,159.33466183324506
1150.0,380.0,373.0,0.0,250.0,538.9361863725451,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,501.506308877266,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,383.96388365391806,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,231.5513558654578,143.25,65.0,35.0,55.0
1074.8096264604135,362.97032238636075,364.0721284690135,0.0,160.70645349080934,0.0,65.0,35.0,55.0
937.4450454281717,317.23900845264546,318.8431660898731,0.0,134.02985369614208,0.0,65.0,35.0,55.0
838.0936385518163,284.1630121261073,286.1305045714673,0.0,114.73552250566146,0.0,65.0,35.0,55.0
763.8042445203253,259.4306424361202,261.66981621519597,0.0,112.5,0.0,65.0,35.0,55.0
774.0520848675442,262.84234580637445,265.04404254085273,0.0,0.0,0.0,65.0,35.0,55.0
755.0020131964349,256.5002101444399,258.77157427823494,0.0,0.0,0.0,65.0,35.0,55.0
765.1925943282356,259.8928508193748,262.12694730939216,0.0,0.0,0.0,65.0,35.0,55.0
834.7601928808593,283.05324387788806,285.0329269593081,0.0,0.0,0.0,65.0,35.0,55.0
988.4799870832009,334.2295231899719,335.64704259713045,0.0,0.0,0.0,65.0,35.0,55.0
1133.2786789854235,380.0,373.0,0.0,0.0,0.0,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,119.32689137544017,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,109.0925013271266,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,66.49555865041718,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,180.45569369742228,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,264.60869509639633,35.0,55.0
